linker_smiles,count
c1cc(-c2ccncc2)ccn1,706
O=C([O-])c1ccc(C(=O)[O-])cc1,634
O=C([O-])C(=O)[O-],545
N#C[S],292
[C]#N,269
[N][N][N],248
O=C([O-])c1cccc(C(=O)[O-])c1,211
c1cnccn1,207
C(=Cc1ccncc1)c1ccncc1,203
[O]S([O])(=O)=O,183
O=C([O-])C=CC(=O)[O-],172
O=C[O-],170
O=C([O-])c1ccncc1,167
O=C([O-])c1cc(C(=O)[O-])c(C(=O)[O-])cc1C(=O)[O-],156
CC(=O)[O-],150
O=C([O-])CCC(=O)[O-],144
O=C([O-])c1ccc2cc(C(=O)[O-])ccc2c1,138
c1cc(CCc2ccncc2)ccn1,138
O=C([O-])C=CC=CC(=O)[O-],128
O=C([O-])c1ccc(-c2ccc(C(=O)[O-])cc2)cc1,127
O=C([O-])c1cc(C(=O)[O-])cc(C(=O)[O-])c1,125
N#C[N]C#N,124
O=C([O-])C#CC#CC#CC(=O)[O-],117
c1cn(CCCCn2ccnc2)cn1,111
O=C([O-])c1ccccc1C(=O)[O-],108
O=C([O-])c1ccc(Oc2ccc(C(=O)[O-])cc2)cc1,105
c1cc(CCCc2ccncc2)ccn1,98
O=C([O-])c1cc(C(=O)[O-])cc([N+](=O)[O-])c1,98
O=C([O-])CCCCC(=O)[O-],93
c1cn(Cc2ccc(Cn3ccnc3)cc2)cn1,90
O=C([O-])CCCC(=O)[O-],86
O=C([O-])C#CC#CC(=O)[O-],86
O=C([O-])c1ccc(C(=O)[O-])s1,79
O=C([O-])C12CCC(C(=O)[O-])(CC1)CC2,78
c1cn(-c2ccc(-n3ccnc3)cc2)cn1,77
O=C([O-])c1cccnc1,75
O=C([O-])c1cccnc1C(=O)[O-],73
O=C([O-])c1ccc(C(=O)[O-])c2ccccc12,72
O=C([O-])c1c(F)c(F)c(C(=O)[O-])c(F)c1F,71
O=C([O-])c1nccnc1C(=O)[O-],69
c1cc([N][N]c2ccncc2)ccn1,69
O=C([O-])c1cccc(C(=O)[O-])n1,69
O=C([O-])c1cc(O)cc(C(=O)[O-])c1,68
[O][N+](=O)[O-],68
O=C([O-])C#CC(=O)[O-],68
O=C1C(=O)C(=O)C1=O,63
O=C([O-])c1ccc(C(=O)[O-])c2c1CC2,63
O=C([O-])c1ccc([N][N]c2ccc(C(=O)[O-])cc2)cc1,61
Nc1cc(C(=O)[O-])cc(C(=O)[O-])c1,59
O=C([O-])C#Cc1ccc(C#CC(=O)[O-])cc1,58
O=C([O-])C#CC12C3C4C1C1C2C3C41C#CC(=O)[O-],55
O=C([O-])c1ccc(C#Cc2ccc(C(=O)[O-])cc2)cc1,53
C1=NN=C[N]1,51
O=C([O-])c1ccc(C=Cc2ccc(C(=O)[O-])cc2)cc1,51
O=C([O-])c1cc(C(=O)[O-])cc(C(=O)O)c1,50
O=C([O-])Cc1ccc(CC(=O)[O-])cc1,50
[O][PH]([O])=O,49
O=C([O-])c1cncc(C(=O)[O-])c1,48
O=C([O-])c1ccc(C(=O)[O-])nc1,47
[O]c1cc(C(=O)[O-])c([O])cc1C(=O)[O-],47
O=C([O-])C1CCC(C(=O)[O-])CC1,46
O=C([O-])c1cc(O)c(C(=O)[O-])cc1O,46
[CH]([N][N][CH]c1ccncc1)c1ccncc1,45
O=C([O-])c1ccc(S(=O)(=O)c2ccc(C(=O)[O-])cc2)cc1,45
O=C([O-])C12C3C4C1C1C2C3C41C(=O)[O-],43
O=C([O-])c1cnccn1,42
C1CN2CCN1CC2,41
c1cncnc1,41
C1COCCO1,40
C1=CN=C[N]1,40
O=C([O-])c1cc(C(=O)O)c(C(=O)[O-])cc1C(=O)O,38
O=C([O-])CC(=O)[O-],38
C1N2CN3CN1CN(C2)C3,38
O=C([O-])c1ccncc1C(=O)[O-],37
O=C([O-])COCC(=O)[O-],37
O=C([O-])C#CC=CC#CC(=O)[O-],37
[CH]1C=NC=N1,36
O=C([O-])c1ccc(C(c2ccc(C(=O)[O-])cc2)(C(F)(F)F)C(F)(F)F)cc1,36
O=C([O-])CC(O)C(=O)[O-],36
O=C([O-])c1c(Br)c(Br)c(C(=O)[O-])c(Br)c1Br,36
O=C([O-])c1nc[nH]c1C(=O)[O-],34
O=C([O-])c1ccnc(C(=O)[O-])c1,34
Cc1cc(C(=O)[O-])cc(C(=O)[O-])c1,34
O=C([O-])CNCC(=O)[O-],33
O=C([O-])c1cc2nc[nH]c2cc1C(=O)[O-],33
O=C([O-])c1cc(C(=O)[O-])cc(-c2cc(C(=O)[O-])cc(C(=O)[O-])c2)c1,33
O=C([O-])c1cc2ccc3cc(C(=O)[O-])cc4ccc(c1)c2c34,33
NCCN,32
Nc1cc(C(=O)[O-])ccc1C(=O)[O-],32
O=C([O-])c1cc(Cl)c(C(=O)[O-])cc1Cl,32
O=C([O-])c1cc[n+]([O-])cc1,32
c1cc(-c2ccc(-c3ccncc3)cc2)ccn1,32
O=C([O-])c1ccc(-c2ccc(-c3ccc(C(=O)[O-])cc3)cc2)cc1,32
[O]P([O])(=O)O,31
[O]S([O])([O])c1cc(C(=O)[O-])cc(C(=O)[O-])c1,30
