node_smiles,count
[Zn],2116
[Cd],1474
[Cu],1457
[Zn][Zn],1340
[Al],961
[OH],848
[Co],608
[Ag],607
[Zn][O]([Zn])([Zn])[Zn],600
[Mn],404
[OH2][Cd],394
[Ni],368
[OH2][Zn],317
O,304
[Ag][Ag],282
[Cu][Cu],275
[OH2][Cd][OH2],274
[O]12[Zr]34[OH]5[Zr]62[OH]2[Zr]71[OH]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[OH]43,236
[O],209
[K],204
[Fe],195
[OH2][Zn][OH2],194
[Na],188
O[Al][O]([Al])[Al],130
[OH2][Mn][OH2],120
[OH2][Cu],118
[OH2][Co][OH2],114
I[Cu][Cu]I,111
[Li],108
[OH2][Mn],101
[O][U][O],101
[Sn],99
[Mo],98
Cl[Cd]Cl,96
[OH2][Ni][OH2],90
[Tb],86
[Ca],85
Cl[Cd],84
[OH2][Gd][OH2],79
[V],79
[OH2][Tb][OH2],78
Cl[Zn]Cl,77
[Gd],76
Cl[Cu]Cl,71
[OH2][Cu][OH2],71
[OH2][Ca][OH2],68
[OH2][Ni],67
[Pb],66
[Dy],64
Cl[Cu],63
Cl[Zn],62
[Sm],62
[OH2][Tb],62
[OH2][Co],61
[OH2][Nd],60
[OH2][Dy][OH2],60
[Mg],60
[Ba],59
[OH2][Nd][OH2],59
[OH2][Gd],58
[Nd],58
[OH2][La],57
[OH2][Sm][OH2],57
[Sr],54
[OH2][Sm],51
[Cs],51
[La],50
[OH2][Pr],49
[In],49
[Er],47
[Rb],45
[OH2][Er][OH2],45
[Li][OH2],45
[Pr],44
[OH2][La][OH2],43
[OH2][Pr][OH2],40
[Hg],39
[OH2][Dy],39
[Cu]Br,38
[Co][Co],36
[Ag]1[Ag][Ag][Ag]1,35
[OH2][Er],35
[OH2][Ho][OH2],35
[Cu]I,34
Br[Cd]Br,34
I[Cd]I,33
[Pd],33
[OH2][Na],33
[OH2][Mg][OH2],33
[OH2][Zn]([OH2])([OH2])[OH2],32
[OH2][Ca],32
[OH2][Cd]([OH2])[OH2],31
[Pt],31
Cl[Cu][Cu]Cl,30
Br[Zn]Br,30
Cl[Co]Cl,29
[O][U]([O])[OH2],29
[OH2][Ho],29
Cl[Hg]Cl,28
Br[Cu][Cu]Br,28
[Ga],26
[Ho],26
[OH2][K],26
[Rh][Rh],26
[OH2][Co]([OH2])([OH2])[OH2],24
[I],24
[OH2][Sr],24
I[Zn]I,24
[Au],24
[OH2][Sm]([OH2])[OH2],23
[Y],23
[OH2][Cu][Cu][OH2],23
I[Cu]12[Cu]3([Cu]1([Cu]23I)I)I,22
[Ru][Ru],22
I[Hg]I,21
[OH2][Gd]([OH2])[OH2],21
[OH2][Tb]([OH2])[OH2],21
[OH2][Fe][OH2],21
[OH2][Zn]([OH2])[OH2],21
Br[Hg]Br,20
[OH2][Ba],20
[Zn][OH]1[Zn][OH]([Zn]1)[Zn],20
[Eu],19
[Yb],19
[OH2][Sr][OH2],19
[OH2][Na][OH2],18
Br[Cu]Br,18
[OH2][Nd]([OH2])[OH2],18
[OH2][Ba][OH2],18
[OH2][Cd]([OH2])([OH2])[OH2],17
[Cu][Cu](I)I,17
[Cu]1[Cu][Cu][Cu]1,17
[Zn][OH][Zn],17
[OH2][Yb],17
O[Hf]123([OH2])[OH]4[Hf]56[O]3[Hf]37([OH]2[Hf]28[O]1[Hf]14([O]6[Hf]([OH]53)([OH]21)([O]78)([OH2])O)([OH2])O)([OH2])O,17
O[Zr]123([OH2])[OH]4[Zr]56[O]3[Zr]37([OH]2[Zr]28[O]1[Zr]14([O]6[Zr]([OH]53)([OH]21)([O]78)([OH2])O)([OH2])O)([OH2])O,17
[OH2][Y],16
[OH2][Ni]([OH2])([OH2])[OH2],16
[Cd][Cd],16
[OH2][La]([OH2])[OH2],16
Br[Cd],16
[Cr],16
[Bi],16
[OH2][Er]([OH2])[OH2],16
[Ag][Ag][Ag][Ag],15
[OH2][Fe],15
[OH2][Y][OH2],15
[W],15
[Cd]I,15
[Co][OH2][Co],15
[O]12[Hf]34[OH]5[Hf]62[OH]2[Hf]71[OH]4[Hf]14[O]3[Hf]35[O]6[Hf]2([O]71)[OH]43,15
[OH2][Cd]Cl,14
[OH2][Ag],14
[Ti],14
Cl[Mn]Cl,14
[Sc],14
[Ag]1[Ag]2[Ag]1[Ag]2,14
[OH2][Yb][OH2],14
[OH2][Dy]([OH2])[OH2],13
[K][OH2][K],13
[OH2][Ca]([OH2])([OH2])[OH2],13
[OH2][Pr]([OH2])[OH2],12
[OH2][Ca]([OH2])[OH2],12
[OH2][Zn][Zn][OH2],12
[OH2][Na]1[OH2][Na]([OH2]1)[OH2],12
[Ag]1[Ag][Ag]1,11
[OH2][Mg],11
[OH2][Sr]([OH2])([OH2])[OH2],11
[OH2][Mg]([OH2])([OH2])[OH2],11
[OH2][Eu],10
[OH2][Nd]([OH2])([OH2])[OH2],10
[Ce],10
[OH2][Ba]([OH2])([OH2])[OH2],10
[Cd][OH2][Cd],10
[OH2][Y]([OH2])[OH2],10
[S],10
[Mn][Mn],10
[Zr],10
[K]1[OH2][K][OH2]1,10
[OH2][Tb]([OH2])([OH2])[OH2],10
[OH2][Tm][OH2],10
[Lu],10
[O][U]([O])([OH2])[OH2],10
[OH2][Sr]([OH2])[OH2],9
[Au][Au],9
Cl[Mn],9
[Tm],9
[Ni][Ni],9
Cl[Fe]Cl,9
Cl[Co],9
[OH2][Tm],9
[Ni][OH2][Ni],9
[OH2][Eu][OH2],8
[OH2][Ba]([OH2])[OH2],8
[Zn]Br,8
[OH2][Dy]([OH2])([OH2])[OH2],8
[O][V],8
[OH2][K]([OH2])([OH2])[OH2],8
[OH2][K][OH2],8
[Ag][Ag][Ag],8
[O][U]1([O])[OH][U]([OH]1)([O])[O],8
[Na][OH2][Na],8
[Cu][OH]1[Cu][OH]([Cu]1)[Cu],8
[OH2][Gd]([OH2])([OH2])[OH2],8
[OH2][Mn]([OH2])[OH2],8
[OH2][Ru][Ru][OH2],8
[U],8
[OH2][Ag][Ag],7
[Na]1[OH2][Na][OH2]1,7
[Br],7
[Cu][OH][Cu][OH][Cu],7
[OH2][Mn]([OH2])([OH2])[OH2],7
[OH2][Lu][OH2],7
[Mo][Mo],7
[OH2][Li][OH2],7
[OH2][Sm]([OH2])([OH2])[OH2],7
[Zn][OH][Zn][OH][Zn],7
Cl[Ni]Cl,7
[OH2][Ho]([OH2])[OH2],7
[O][O],7
[Cs]1[OH2][Cs][OH2]1,7
[Se],7
[Te],7
[OH2][Mg]([OH2])[OH2],6
[OH2][Er]([OH2])([OH2])[OH2],6
[OH2][Lu],6
[OH2][Tb]([OH2])([OH2])([OH2])[OH2],6
I[Cu]([Cu][Cu][Cu](I)I)I,6
[Fe][Fe],6
[OH2][K]1[OH2][K]([OH2]1)[OH2],6
[Ni][O]([Ni])[Ni],6
[Cu][Cu](Br)Br,6
[Cu][Cu][Cu],6
I[Cu][Cu]([Cu]([Cu]I)I)I,6
[OH2][Rb],5
[OH2][Ni]([OH2])[OH2],5
[Cl],5
[OH2][Zn]Cl,5
[Co][OH][Co][OH][Co],5
[Sb],5
[Ni]O[Ni],5
