topology,count
pcu,1899
sql,1708
rna,701
hcb,361
dia,312
fcu,221
nbo,153
ttp,147
acs,138
bcu,136
kgd,124
fes,119
tsg,112
hxl,94
rtl,92
pts,88
fsc,85
bey,83
bex,74
srs,65
cds,56
dmd,54
ant,50
hex,45
sra,42
scu,34
ftw,32
bor,32
ths,31
lvt,29
rob,28
sod,26
mab,21
bbf,18
tfi,18
bnn,15
kgm,15
crb,15
dmp,14
apo,14
hms,14
tfz-d,14
qtz,14
met,13
dmc,12
mog,12
ins,12
cpr,11
raa,11
neb,10
tsy,9
nbo-a,9
lig,8
MISMATCH,8
bpq,8
flu,8
utp,8
gwg,7
tfz,7
cag,7
ggl,7
rnb,6
pyr,6
crs,6
hbt,6
nia,5
dia-f,5
tfj,5
jeb,5
jsm,5
sqp,5
eea,5
lim,5
sxb,5
ctn,5
xww,4
lvt-a,4
usf,4
cpa,4
noy,4
ncb,4
ilc,4
llj,4
lon,4
cdt,4
fsh,4
xmz,4
frl,4
unc,4
cdq,4
eta,4
tcs,3
cpv,3
nia-d,3
sdd,3
zyl,3
twt,3
bew,3
sur,3
gis,3
sdf,3
cru,3
nov,3
nou,3
lil,3
irl,3
fet,3
ecu,3
skb,2
gra,2
ddi,2
fff,2
tfa,2
etb,2
cpi,2
tbo,2
cor,2
sdb,2
afw,2
qtz-h,2
umc,2
cqx,2
nog,2
lcs,2
mok,2
tsa,2
etf,2
wys,2
stp,2
cdl,2
lcy,2
jaj,2
zxc,2
cpf,2
deh,2
fsx,2
qzd,2
sne,2
bct,2
mdf,2
mot,1
vbk,1
wix,1
etd,1
tav,1
mrc,1
utk,1
pcb,1
nkc,1
myc,1
flt,1
std,1
xat,1
fse,1
mmt,1
itv,1
mcm,1
yav,1
zni,1
afi,1
moc,1
cem,1
kdd,1
mtf,1
uni,1
hwx,1
TIMEOUT,1
kkm,1
tfk,1
tsi,1
dma,1
jxj,1
ssb,1
sty,1
tfo,1
ken,1
tcb,1
etc,1
ths-e,1
fon,1
can,1
xah,1
cpc,1
pth,1
sit,1
ftb,1
oft,1
cem-d,1
thl,1
bcg,1
jph,1
cpo,1
zst,1
nod,1
htb,1
llw-z,1
ubo,1
utj,1
the,1
hxg,1
uog,1
gme,1
dft,1
lsz,1
css,1
pto,1
asc,1
tfg,1
fsg,1
ceg,1
